track_name,name_of_artists,album_name,album_release_date,number_of_tracks_in_album,track_duration_ms,track_popularity
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,89
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Calm Down (with Selena Gomez),2022-08-25,1,239317,95
Yandel 150,"['Yandel', 'Feid']",Resistencia,2023-01-13,17,216148,89
FLOWER,['JISOO'],ME,2023-03-31,2,173134,80
"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,214945,97
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,94
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",Gloria,2023-01-27,13,156943,86
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,90
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,95
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,87
PRC,"['Peso Pluma', 'Natanael Cano']",PRC,2023-01-23,1,184066,93
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,82
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,2022-11-24,1,174942,93
Like Crazy (English Version),['Jimin'],FACE,2023-03-24,6,212253,88
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,71
Here With Me,['d4vd'],Here With Me,2022-09-22,1,242484,94
Hey Mor,"['Ozuna', 'Feid']",OzuTochi,2022-10-07,18,196600,91
Coco Chanel,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,2023-03-17,18,208125,90
Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),2022-04-22,1,176440,93
Another Love,['Tom Odell'],Long Way Down,2013-06-17,10,244360,62
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,92
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,92
I Ain't Worried,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,148120,52
golden hour,['JVKE'],this is what ____ feels like (Vol. 1-4),2022-09-23,12,209259,90
